BK015,5煤,5煤,106.050,0.960,BK016,含炭泥岩,6上煤,147.200,0.300,BK017,泥岩,5煤,108.870,0.320,BK018,泥岩,5下煤,96.220,0.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,6煤,6煤,163.360,6.260,695,5煤,5煤,76.000,1.530
BK015,泥岩,5煤,106.430,0.380,BK016,6上煤,6上煤,148.380,1.180,BK017,5煤,5煤,109.260,0.390,BK018,5下煤,5下煤,98.780,2.560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,,165.250,1.890,695,泥岩,5煤,76.130,0.130
BK015,5煤,5煤,106.790,0.360,BK016,泥岩,,154.540,6.160,BK017,泥岩,,133.990,24.730,BK018,粉砂质泥岩,,122.510,23.730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,煤,,165.850,0.600,695,5煤,5煤,77.380,1.250
BK015,炭质泥岩,5煤,107.070,0.280,BK016,粗粒砂岩,,156.910,2.370,BK017,6上煤,6上煤,135.990,2.000,BK018,6上煤,6上煤,125.060,2.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,6下煤,6下煤,166.450,0.600,695,泥岩,5煤,77.820,0.440
BK015,5煤,5煤,108.830,1.760,BK016,泥岩,,159.510,2.600,BK017,泥岩,6上煤,139.460,3.470,BK018,泥质粉砂岩,,137.260,12.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,6下煤,166.650,0.200,695,5煤,5煤,78.580,0.760
BK015,炭质泥岩,5煤,109.170,0.340,BK016,6煤,6煤,160.870,1.360,BK017,6上煤,6上煤,140.240,0.780,BK018,6-1煤,6-1煤,137.960,0.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,6下煤,6下煤,166.950,0.300,695,泥岩,5煤,78.730,0.150
BK015,5煤,5煤,109.570,0.400,BK016,炭质泥岩,6煤,161.320,0.450,BK017,泥岩,6上煤,141.800,1.560,BK018,炭质泥岩,6-1煤,138.260,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,,168.150,1.200,695,5煤,5煤,80.260,1.530
BK015,泥岩,5煤,109.930,0.360,BK016,6煤,6煤,168.040,6.720,BK017,6上煤,6上煤,144.030,2.230,BK018,6-1煤,6-1煤,138.730,0.470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,细粒砂岩,,181.880,13.730,695,泥岩,,90.700,10.440
BK015,5煤,5煤,111.260,1.330,BK016,泥岩,6煤,169.330,1.290,BK017,泥岩,,148.780,4.750,BK018,粉砂质泥岩,,150.370,11.640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,粉砂岩,,91.200,0.500
BK015,泥岩,5煤,111.540,0.280,BK016,6煤,6煤,170.030,0.700,BK017,粉砂岩,,155.720,6.940,BK018,6煤,6煤,150.790,0.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,泥岩,,98.270,7.070
BK015,5煤,5煤,112.270,0.730,BK016,泥岩,6煤,171.350,1.320,BK017,细粒砂岩,,155.960,0.240,BK018,炭质泥岩,6煤,150.940,0.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,5下煤,5下煤,98.510,0.240
BK015,泥岩,5煤,112.590,0.320,BK016,6煤,6煤,172.310,0.960,BK017,6煤,6煤,157.000,1.040,BK018,6煤,6煤,151.320,0.380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,泥岩,5下煤,98.670,0.160
BK015,5煤,5煤,112.960,0.370,BK016,含炭泥岩,6煤,172.830,0.520,BK017,泥岩,6煤,157.380,0.380,BK018,炭质泥岩,6煤,152.650,1.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,5下煤,5下煤,102.400,3.730
BK015,泥岩,5煤,113.230,0.270,BK016,6煤,6煤,173.360,0.530,BK017,6煤,6煤,157.920,0.540,BK018,6煤,6煤,152.910,0.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,粉砂岩,,103.650,1.250
BK015,5煤,5煤,114.060,0.830,BK016,泥岩,6煤,174.780,1.420,BK017,泥岩,6煤,158.210,0.290,BK018,炭质泥岩,6煤,153.050,0.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,泥岩,,108.220,4.570
BK015,泥岩,5煤,114.370,0.310,BK016,6煤,6煤,175.940,1.160,BK017,6煤,6煤,165.910,7.700,BK018,6煤,6煤,153.410,0.360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,粉砂岩,,109.130,0.910
BK015,5煤,5煤,115.070,0.700,BK016,泥岩,6煤,180.310,4.370,BK017,泥岩,6煤,166.250,0.340,BK018,炭质泥岩,6煤,159.200,5.790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,泥岩,,109.860,0.730
BK015,泥岩,5煤,115.370,0.300,BK016,6煤,6煤,181.350,1.040,BK017,6煤,6煤,166.950,0.700,BK018,6煤,6煤,159.910,0.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,粉砂岩,,110.900,1.040
BK015,5煤,5煤,118.000,2.630,BK016,含炭泥岩,6煤,181.610,0.260,BK017,泥岩,6煤,167.540,0.590,BK018,炭质泥岩,6煤,160.120,0.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,泥岩,,112.150,1.250
BK015,泥岩,5煤,119.310,1.310,BK016,6煤,6煤,189.330,7.720,BK017,6煤,6煤,168.250,0.710,BK018,6煤,6煤,168.130,8.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,粉砂岩,,113.270,1.120
BK015,5煤,5煤,120.460,1.150,BK016,炭质泥岩,6煤,189.680,0.350,BK017,泥岩,6煤,168.630,0.380,BK018,炭质泥岩,6煤,168.430,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,泥岩,,116.400,3.130
BK015,泥岩,5煤,120.820,0.360,BK016,6煤,6煤,195.280,5.600,BK017,6煤,6煤,172.650,4.020,BK018,6煤,6煤,170.980,2.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,粗粒砂岩,,117.770,1.370
BK015,5煤,5煤,121.180,0.360,BK016,含炭泥岩,6煤,195.540,0.260,BK017,泥岩,6煤,173.070,0.420,BK018,炭质泥岩,6煤,171.300,0.320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,泥岩,,120.040,2.270
BK015,泥岩,,145.920,24.740,BK016,6煤,6煤,196.420,0.880,BK017,6煤,6煤,179.680,6.610,BK018,6煤,6煤,174.700,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,6-1煤,6-1煤,122.200,2.160
BK015,6上煤,6上煤,149.840,3.920,BK016,含炭泥岩,6煤,196.740,0.320,BK017,泥岩,6煤,179.970,0.290,BK018,炭质泥岩,6煤,175.050,0.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,粉砂岩,,122.440,0.240
BK015,炭质泥岩,6上煤,150.110,0.270,BK016,6煤,6煤,197.160,0.420,BK017,6煤,6煤,184.710,4.740,BK018,6煤,6煤,180.950,5.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,泥岩,,124.680,2.240
BK015,6上煤,6上煤,150.490,0.380,BK016,炭质泥岩,6煤,198.020,0.860,BK017,泥岩,6煤,185.200,0.490,BK018,炭质泥岩,6煤,181.290,0.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,煤,,125.380,0.700
BK015,炭质泥岩,6上煤,151.060,0.570,BK016,6煤,6煤,198.980,0.960,BK017,6煤,6煤,187.470,2.270,BK018,6煤,6煤,183.230,1.940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,炭质泥岩,,127.800,2.420
BK015,6上煤,6上煤,151.450,0.390,BK016,泥岩,6煤,199.250,0.270,BK017,泥岩,6煤,188.440,0.970,BK018,泥岩,6煤,183.500,0.270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,6煤,6煤,128.700,0.900
BK015,炭质泥岩,6上煤,151.870,0.420,BK016,6煤,6煤,200.290,1.040,BK017,6煤,6煤,190.540,2.100,BK018,6煤,6煤,185.060,1.560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,炭质泥岩,6煤,129.150,0.450
BK015,6上煤,6上煤,152.240,0.370,BK016,含炭泥岩,6煤,200.590,0.300,BK017,粉砂岩,6煤,190.820,0.280,BK018,泥岩,6煤,185.300,0.240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,6煤,6煤,132.690,3.540
