538,5煤,5煤,300.950,0.070,225,泥岩,12煤,578.350,2.080,,,,,,,224,12煤,12煤,505.650,0.410,,,,,,,,,,,
538,泥岩,5煤,304.760,3.810,225,12煤,12煤,578.450,0.100,,,,,,,224,泥岩,12煤,512.150,6.500,,,,,,,,,,,
538,5煤,5煤,305.430,0.670,225,泥岩,12煤,579.040,0.590,,,,,,,224,12煤,12煤,512.360,0.210,,,,,,,,,,,
538,泥岩,5煤,307.410,1.980,225,12煤,12煤,579.170,0.130,,,,,,,224,泥岩,12煤,515.390,3.030,,,,,,,,,,,
538,5煤,5煤,307.520,0.110,225,泥岩,12煤,579.270,0.100,,,,,,,224,12煤,12煤,516.000,0.610,,,,,,,,,,,
538,泥岩,5煤,308.830,1.310,225,12煤,12煤,579.380,0.110,,,,,,,224,泥岩,12煤,520.080,4.080,,,,,,,,,,,
538,5煤,5煤,309.180,0.350,225,泥岩,12煤,579.740,0.360,,,,,,,224,12煤,12煤,520.410,0.330,,,,,,,,,,,
538,泥岩,5煤,309.490,0.310,225,12煤,12煤,580.540,0.800,,,,,,,224,泥岩,12煤,520.550,0.140,,,,,,,,,,,
538,5煤,5煤,309.880,0.390,225,中粒砂岩,,800.200,219.660,,,,,,,224,12煤,12煤,520.630,0.080,,,,,,,,,,,
538,泥岩,5煤,310.380,0.500,,,,,,,,,,,,224,泥岩,12煤,520.890,0.260,,,,,,,,,,,
538,5煤,5煤,311.210,0.830,,,,,,,,,,,,224,12煤,12煤,521.260,0.370,,,,,,,,,,,
538,泥岩,5煤,311.340,0.130,,,,,,,,,,,,224,泥岩,12煤,521.480,0.220,,,,,,,,,,,
538,5煤,5煤,311.420,0.080,,,,,,,,,,,,224,12煤,12煤,521.800,0.320,,,,,,,,,,,
538,泥岩,5煤,311.530,0.110,,,,,,,,,,,,224,泥岩,12煤,521.940,0.140,,,,,,,,,,,
538,5煤,5煤,311.650,0.120,,,,,,,,,,,,224,12煤,12煤,522.200,0.260,,,,,,,,,,,
538,泥岩,5煤,312.490,0.840,,,,,,,,,,,,224,细粒砂岩,,601.800,79.600,,,,,,,,,,,
538,5煤,5煤,312.560,0.070,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,312.850,0.290,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,313.020,0.170,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,313.980,0.960,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,314.150,0.170,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,315.610,1.460,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,316.200,0.590,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,317.290,1.090,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,317.890,0.600,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,318.140,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,318.410,0.270,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,319.280,0.870,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,319.750,0.470,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,319.930,0.180,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,320.230,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,320.590,0.360,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,320.680,0.090,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,320.800,0.120,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,321.130,0.330,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,321.830,0.700,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,322.400,0.570,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,323.430,1.030,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,324.490,1.060,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,泥岩,5煤,325.550,1.060,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,5煤,5煤,325.880,0.330,,,,,,,,,,,,,,,,,,,,,,,,,,,
