XC01,泥岩,,82.450,2.910,灰色，泥质结构，层状构造，固结程度好，呈短柱状,,,,,,,,,,,,,,,,,,
XC01,细粒砂岩,,82.650,0.200,灰白色，细粒结构，层状构造。硅质胶结，固结程度好，质地 坚硬。,,,,,,,,,,,,,,,,,,
XC01,泥岩,,85.770,3.120,灰色，泥质结构，层状构造。易风化后破碎，平坦状断口。,,,,,,,,,,,,,,,,,,
XC01,细粒砂岩,,89.720,3.950,灰白色，细粒结构，层状构造。成分以石英、长石为主，见水 平层理。,,,,,,,,,,,,,,,,,,
XC01,泥岩,,91.570,1.850,灰绿色，泥质结构，层状构造。局部含少量炭屑。,,,,,,,,,,,,,,,,,,
XC01,细粒砂岩,,92.330,0.760,灰白色，砂粒结构，层状构造。其中91. 57-91. 79m质地坚硬， 为硅质胶结。,,,,,,,,,,,,,,,,,,
XC01,泥岩,,94.280,1.950,灰绿色，泥质结构，层状构造。,,,,,,,,,,,,,,,,,,
XC01,6煤,6煤,95.820,1.540,灰黑色，条痕褐色，为半暗型煤，弱沥青光泽。断口参差,,,,,,,,,,,,,,,,,,
XC01,细粒砂岩,6煤,95.890,0.070,灰白色的，砂粒结构，层状构造。矿物成分以石英、长石为主 ，见水平层理。断口平坦。,,,,,,,,,,,,,,,,,,
XC01,6煤,6煤,106.210,10.320,灰黑色，条痕褐色，为半暗型煤，弱沥青光泽。断口参差,,,,,,,,,,,,,,,,,,
XC01,炭质泥岩,6煤,106.710,0.500,灰黑色，泥质结构，层状构造，有机质含量30%左右。,,,,,,,,,,,,,,,,,,
XC01,6煤,6煤,115.730,9.020,灰黑色，条痕褐色，为半暗型煤，弱沥青光泽。断口参差,,,,,,,,,,,,,,,,,,
XC01,泥岩,,119.720,3.990,灰绿色，泥质结构，泥质胶结。为6煤的底板。,,,,,,,,,,,,,,,,,,
XC01,细粒砂岩,,120.700,0.980,灰白色，砂粒结构，层状构造。以石英、长石为主，见水平层 理。,,,,,,,,,,,,,,,,,,
XC01,泥岩,,121.920,1.220,灰绿色，泥质结构，泥质胶结。断口平坦。,,,,,,,,,,,,,,,,,,
XC01,细粒砂岩,,126.000,4.080,灰白色的，砂粒结构，层状构造。矿物成分以石英、长石为主 ，见水平层理。断口平坦。,,,,,,,,,,,,,,,,,,
XC01,泥岩,,128.520,2.520,灰色，泥质结构，层状构造，参差状断口，固结程度好。,,,,,,,,,,,,,,,,,,
